Timestamp,Source IP,Destination IP,Status,Attack Type,Confidence
2026-09-15 12:54:53.480959,192.168.1.173,192.168.1.1,NORMAL,Normal,99.97
2026-09-15 12:54:54.480959,192.168.1.38,192.168.1.1,NORMAL,Normal,64.67
2026-09-15 12:54:55.480959,192.168.1.16,192.168.1.1,NORMAL,Normal,99.88
2026-09-15 12:54:56.480959,192.168.1.199,192.168.1.1,NORMAL,Normal,99.96
2026-09-15 12:54:57.480959,192.168.1.80,192.168.1.1,NORMAL,Normal,99.74
2026-09-15 12:54:58.480959,192.168.1.72,192.168.1.1,NORMAL,Normal,99.97
2026-09-15 12:54:59.480959,192.168.1.67,192.168.1.1,NORMAL,Normal,99.97
2026-09-15 12:55:00.480959,192.168.1.45,192.168.1.1,NORMAL,Normal,99.98
2026-09-15 12:55:01.480959,192.168.1.198,192.168.1.1,NORMAL,Normal,99.82
2026-09-15 12:55:02.480959,192.168.1.36,192.168.1.1,NORMAL,Normal,99.83
2026-09-15 12:55:03.480959,192.168.1.183,192.168.1.1,NORMAL,Normal,99.72
2026-09-15 12:55:04.480959,192.168.1.199,192.168.1.1,ATTACK,DoS,95.73
2026-09-15 12:55:05.480959,192.168.1.238,192.168.1.1,NORMAL,Normal,99.97
2026-09-15 12:55:06.480959,192.168.1.149,192.168.1.1,NORMAL,Normal,99.98
2026-09-15 12:55:07.480959,192.168.1.32,192.168.1.1,NORMAL,Normal,99.89
2026-09-15 12:55:08.480959,192.168.1.161,192.168.1.1,ATTACK,DoS,99.98
2026-09-15 12:55:09.480959,192.168.1.118,192.168.1.1,NORMAL,Normal,99.95
2026-09-15 12:55:10.480959,192.168.1.18,192.168.1.1,NORMAL,Normal,99.96
2026-09-15 12:55:11.480959,192.168.1.17,192.168.1.1,NORMAL,Normal,99.91
2026-09-15 12:55:12.480959,192.168.1.33,192.168.1.1,ATTACK,DoS,99.98
2026-09-15 12:55:13.480959,192.168.1.65,192.168.1.1,ATTACK,DoS,99.97
