Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,flow_missing
53,30663,1,1,51,112,51,51,51.0,0.0,112,112,112.0,0.0,5315.852982,65.22518997,30663.0,0.0,30663,30663,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,32.61259498,32.61259498,51,112,71.33333333,35.21836642,1240.333333,0,0,0,0,0,0,0,0,1,107.0,51.0,112.0,20,1,51,1,112,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Normal,0
80,4066350,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.491841578,4066350.0,0.0,4066350,4066350,4066350,4066350.0,0.0,4066350,4066350,0,0.0,0.0,0,0,0,0,64,0,0.491841578,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,2,0,0,0,284,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS,0
80,69824715,15,14,3645,907,1576,0,243.0,540.6386435,308,0,64.78571429,128.795711,65.19181639,0.41532572,2493739.821,4095345.238,10000000,21,65500000,4682019.429,4916653.467,10100000,130,69700000,5362186.846,4707738.478,10100000,552,0,0,488,456,0.214823648,0.200502072,0,1576,151.7333333,396.6026356,157293.6506,0,0,0,1,0,0,0,0,0,156.9655172,243.0,64.78571429,488,15,3645,14,907,29200,297,3,32,900975.0,1922464.389,4825189,116060,9925088.167,239895.7046,10000000,9435804,Normal,0
53,283,2,2,72,454,36,36,36.0,0.0,227,227,227.0,0.0,1858657.244,14134.27562,94.33333333,160.7928274,280,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,0,0,40,40,7067.137809,7067.137809,36,227,112.4,104.6150085,10944.3,0,0,0,0,0,0,0,0,1,140.5,36.0,227.0,40,2,72,2,454,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Normal,0
42814,42,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,47619.04762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,23809.52381,23809.52381,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,1,0,1,0,126,245,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal,0
53,126743,4,2,144,292,36,36,36.0,0.0,146,146,146.0,0.0,3440.0321911269,47.3398925384,25348.6,41358.3928459509,95180,2,31559,10519.6666666667,18215.401020382,31553,2,4,4.0,0.0,4,4,0,0,104,40,31.559928359,15.7799641795,36,146,67.4285714286,53.6745040122,2880.9523809524,0,0,0,0,0,0,0,0,0,78.6666666667,36.0,146.0,104,4,144,2,292,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Normal,0
53,71665,2,2,72,340,36,36,36.0,0.0,170,170,170.0,0.0,5748.9709063002,55.8152515175,23888.3333333333,41370.6108890518,71659,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,40,64,27.9076257587,27.9076257587,36,170,89.6,73.3948227057,5386.8,0,0,0,0,0,0,0,0,1,112.0,36.0,170.0,40,2,72,2,340,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Normal,0
53,43369,2,2,80,112,40,40,40.0,0.0,56,56,56.0,0.0,4427.125366,92.23177846,14456.33333,24994.08109,43317,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,64,64,46.11588923,46.11588923,40,56,46.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,58.0,40.0,56.0,64,2,80,2,112,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal,0
58658,57,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,35087.7193,57.0,0.0,57,57,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,17543.85965,17543.85965,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,1,0,1,0,349,316,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Normal,0
62913,103100,2,1,6,6,6,0,3.0,4.2426406871,6,6,6.0,0.0,116.3918525703,29.0979631426,51550.0,72754.2167162839,102995,105,103100,103100.0,0.0,103100,103100,0,0.0,0.0,0,0,0,0,52,20,19.3986420951,9.6993210475,0,6,4.5,3.0,9.0,0,0,0,0,1,1,0,0,0,6.0,3.0,6.0,52,2,6,1,6,10231,32850,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Normal,0
